"","CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE"
"7498",41571258,"INDIAN TANDOOR OVEN","MANHATTAN","175","EAST   83 STREET","10028","2126283000","Indian",42228,"Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",9,"A",42228,43138,"Cycle Inspection / Initial Inspection"
"7499",40389807,"CHAMP GOURMET","MANHATTAN","30","BROAD STREET","10004","2123634000","American",42881,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",5,"A",42881,43138,"Cycle Inspection / Re-inspection"
"7500",41302182,"DELL'ANIMA","MANHATTAN","38","8 AVENUE","10014","2123666633","Italian",42110,"Violations were cited in the following area(s).","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","Critical",9,"A",42110,43138,"Cycle Inspection / Re-inspection"
"7501",40816884,"HSBC BANK","MANHATTAN","452","5 AVENUE","10018","2125258981","American",41845,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",32,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7502",41578960,"BOUCHON BAKERY ROCKEFELLER","MANHATTAN","1","ROCKEFELLER PLAZA","10020","2127823890","American",42941,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",12,"A",42941,43138,"Cycle Inspection / Initial Inspection"
"7503",41195733,"230 FIFTH","MANHATTAN","230","FIFTH AVENUE","10001","2127254300","American",43085,"Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",21,NA,NA,43138,"Inter-Agency Task Force / Initial Inspection"
"7504",40641617,"JACK'S RESTAURANT & BAR","MANHATTAN","147","WEST   40 STREET","10018","2128698300","American",42240,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",19,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7505",41206556,"SEA LEVEL CAFE","MANHATTAN","6","EAST   43 STREET","10017","2128504632","American",41786,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",20,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7506",40995536,"TABOON","MANHATTAN","773","10TH AVENUE","10019","2127130271","Mediterranean",42025,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",12,"A",42025,43138,"Cycle Inspection / Initial Inspection"
"7507",50015536,"STUDIO 54 THEATRE","MANHATTAN","254","W 54th St","10019","2127199393","American",43109,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,"A",43109,43138,"Cycle Inspection / Initial Inspection"
"7508",41632765,"FINANCIER PATISSERIE","MANHATTAN","245","PARK AVENUE","10017","2126871743","American",42940,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",32,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7509",50055156,"DRUNKEN DUMPLING","MANHATTAN","137","1ST AVE","10003","9292348337","Japanese",42677,"Violations were cited in the following area(s).","05H","No facilities available to wash, rinse and sanitize utensils and/or equipment.","Critical",38,NA,NA,43138,"Pre-permit (Operational) / Initial Inspection"
"7510",50064927,"LA CHULA","MANHATTAN","137","E 116TH ST","10029","6465903975","Mexican",43077,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",13,"A",43077,43138,"Pre-permit (Operational) / Initial Inspection"
"7511",40932869,"ISTANBUL GRILL","MANHATTAN","310","WEST   14 STREET","10014","2124638626","Turkish",43108,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",27,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7512",41446057,"ROBERT","MANHATTAN","2","COLUMBUS CIRCLE","10019","2122997730","American",42886,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A",42886,43138,"Cycle Inspection / Initial Inspection"
"7513",40927471,"STARBUCKS","MANHATTAN","943","2 AVENUE","10022","2127150752","CafÃ©/Coffee/Tea",42510,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",11,"A",42510,43138,"Cycle Inspection / Initial Inspection"
"7514",41712685,"MORINI RISTORANTE","MANHATTAN","1167","MADISON AVENUE","10028","2122490444","Italian",43067,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",13,"A",43067,43138,"Cycle Inspection / Initial Inspection"
"7515",41376997,"CHIPOTLE MEXICAN GRILL","MANHATTAN","274","MADISON AVENUE","10016","2126891245","Mexican",42142,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,"A",42142,43138,"Cycle Inspection / Initial Inspection"
"7516",50040804,"SADELLES","MANHATTAN","463","W BROADWAY","10012","2122543000","American",43125,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",26,"Z",43125,43138,"Cycle Inspection / Re-inspection"
"7517",50043861,"WALL 88","MANHATTAN","104","2ND AVE","10003","2124750595","American",42870,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",22,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7518",40404024,"THE PENN CLUB","MANHATTAN","30","WEST   44 STREET","10036","2124036544","American",42143,"Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",13,"A",42143,43138,"Cycle Inspection / Initial Inspection"
"7519",50036790,"RAMEN ZUNDO-YA","MANHATTAN","84","E 10TH ST","10003","9176393549","Japanese",42866,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",12,"A",42866,43138,"Cycle Inspection / Initial Inspection"
"7520",50069682,"COOK EATERY","MANHATTAN","1412","BROADWAY","10018","2129977601","American",43123,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",32,"Not Yet Graded",NA,43138,"Pre-permit (Operational) / Initial Inspection"
"7521",50008532,"CONDE NAST","MANHATTAN","1","WORLD TRADE CENTER","10048","2122863961","American",42968,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",9,"A",42968,43138,"Cycle Inspection / Initial Inspection"
"7522",50044433,"OMAR'S MEDITERRANEAN CUISINE","MANHATTAN","154","E 55TH ST","10022","2122078302","Mediterranean",42891,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",12,"A",42891,43138,"Cycle Inspection / Re-inspection"
"7523",50033075,"TORISHIN","MANHATTAN","362","W 53RD ST","10019","2127570108","Japanese",42901,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",5,"A",42901,43138,"Cycle Inspection / Re-inspection"
"7524",41719663,"UNCLES BOONS","MANHATTAN","7","SPRING STREET","10012","6463706650","Thai",42571,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",8,"A",42571,43138,"Cycle Inspection / Re-inspection"
"7525",41470284,"SUBWAY","MANHATTAN","455","EAST  116 STREET","10029","2123607576","Sandwiches",42676,"Violations were cited in the following area(s).","10J","''''Wash hands_x001A_ sign not posted at hand wash facility.","Not Critical",10,"A",42676,43138,"Cycle Inspection / Re-inspection"
"7526",50073647,NA,"MANHATTAN","695","10TH AVE","10036","2123975956","Other",1,NA,NA,NA,"Not Applicable",NA,NA,NA,43138,NA
"7527",41630619,"ONE MILE HOUSE","MANHATTAN","1012","DELANCY STREET","10002","6465590702","American",42241,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,"A",42241,43138,"Cycle Inspection / Re-inspection"
"7528",50058308,"FEI MA","MANHATTAN","79","AVENUE A","10009","2126733300","Chinese",42811,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",9,"A",42811,43138,"Pre-permit (Operational) / Initial Inspection"
"7529",50056947,"TAVERN 62","MANHATTAN","135","E 62ND ST","10065","2129889021","American",42835,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",39,"C",42835,43138,"Pre-permit (Operational) / Re-inspection"
"7530",50059415,"PESCE PASTA TRATT","MANHATTAN","625","COLUMBUS AVE","10024","2125797970","Italian",42772,"Violations were cited in the following area(s).","10J","''''Wash hands_x001A_ sign not posted at hand wash facility.","Not Critical",12,"A",42772,43138,"Pre-permit (Operational) / Initial Inspection"
"7531",50015171,"NEW AMSTERDAM THEATER","MANHATTAN","214","W 42ND ST","10036","2125825472","American",42746,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",5,"A",42746,43138,"Cycle Inspection / Initial Inspection"
"7532",50054099,"STARBUCKS COFFEE","MANHATTAN","10","WAVERLY PL","10003","9292590304","CafÃ©/Coffee/Tea",42663,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",5,"A",42663,43138,"Pre-permit (Operational) / Re-inspection"
"7533",40384671,"CHEZ JOSEPHINE","MANHATTAN","414","WEST   42 STREET","10036","2125941925","French",42480,"Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",10,"A",42480,43138,"Cycle Inspection / Initial Inspection"
"7534",40783353,"A SALT & BATTERY","MANHATTAN","112","GREENWICH AVENUE","10011","2126912713","Seafood",42458,"Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical",20,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7535",50043736,"CHOPPED PARSLEY","MANHATTAN","500","W 146TH ST","10031","9176756666","Japanese",42563,"Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",7,"A",42563,43138,"Cycle Inspection / Initial Inspection"
"7536",50072850,"SALAD BOX USA","MANHATTAN","44","PARK PL","10007","6095294969","Salads",1,NA,NA,NA,"Not Applicable",NA,NA,NA,43138,NA
"7537",50069534,"BLU CAFE","MANHATTAN","120","RIVERSIDE BLVD","10069","2125801200","CafÃ©/Coffee/Tea",43034,"Establishment re-opened by DOHMH",NA,NA,"Not Applicable",0,"P",43034,43138,"Pre-permit (Operational) / Reopening Inspection"
"7538",41288674,"CREDIT SUISSE/SMALL CHANGE CAFE","MANHATTAN","1","MADISON AVENUE","10010","2125389456","American",41656,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,"A",41656,43138,"Cycle Inspection / Initial Inspection"
"7539",41643343,"NYU GCASL KITCHEN","MANHATTAN","238","THOMPSON STREET","10012","2129984872","American",42137,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",4,"A",42137,43138,"Cycle Inspection / Initial Inspection"
"7540",50067743,"VIDA VERDE","MANHATTAN","248","W 55TH ST","10019","6465570565","Mexican",43031,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",13,"A",43031,43138,"Pre-permit (Operational) / Initial Inspection"
"7541",40919024,"STARBUCKS","MANHATTAN","233","BROADWAY","10007","2126191529","CafÃ©/Coffee/Tea",42118,"No violations were recorded at the time of this inspection.",NA,NA,"Not Applicable",0,"A",42118,43138,"Cycle Inspection / Initial Inspection"
"7542",50033040,"STARBUCKS","MANHATTAN","475","W 57TH ST","10019","2122475485","CafÃ©/Coffee/Tea",42902,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",3,"A",42902,43138,"Cycle Inspection / Initial Inspection"
"7543",41377952,"DARBAR GRILL","MANHATTAN","157","EAST   55 STREET","10022","2127514600","Indian",42936,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",34,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7544",50073806,NA,"MANHATTAN","4181","BROADWAY","10033","9174967923","Other",1,NA,NA,NA,"Not Applicable",NA,NA,NA,43138,NA
"7545",50059197,"ARCHDIOCESES OF NY","MANHATTAN","1011","1ST AVE","10022","6467942280","American",42796,"Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",13,"A",42796,43138,"Pre-permit (Operational) / Initial Inspection"
"7546",41123042,"FRIENDLY GOURMET PIZZA","MANHATTAN","59","NASSAU STREET","10038","2129620220","Pizza/Italian",42111,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",12,"A",42111,43138,"Cycle Inspection / Re-inspection"
"7547",41396367,"SAFE HORIZON","MANHATTAN","209","WEST 125 STREET","10027","2126952220","American",42944,"Violations were cited in the following area(s).","20D","Choking first aid_x001A_ poster not posted. _x001A_Alcohol and pregnancy_x001A_ warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.","Not Critical",NA,NA,NA,43138,"Administrative Miscellaneous / Initial Inspection"
"7548",50000889,"SUBCULTURE ARTS UNDERGROUND","MANHATTAN","45","BLEECKER ST","10012","2125335470","American",41961,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,"A",41961,43138,"Cycle Inspection / Initial Inspection"
"7549",41042010,"TIA POL","MANHATTAN","205","10 AVENUE","10011","2126758805","Spanish",43111,"Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",9,"A",43111,43138,"Cycle Inspection / Re-inspection"
"7550",41445022,"ROYAL PIZZA","MANHATTAN","592","3 AVENUE","10016","2126853619","Pizza",42473,"Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",5,"A",42473,43138,"Cycle Inspection / Initial Inspection"
"7551",50073713,"KARAOKE BOHO","MANHATTAN","152","ORCHARD ST","10002","6464791204","Other",1,NA,NA,NA,"Not Applicable",NA,NA,NA,43138,NA
"7552",50057052,"THE FLOWER SHOP","MANHATTAN","107","ELDRIDGE ST","10002","2122574072","American",43109,"Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",11,"A",43109,43138,"Cycle Inspection / Initial Inspection"
"7553",41582724,"LITTLE ITALY PIZZA","MANHATTAN","185","WEST   32 STREET","10001","2126439988","Pizza/Italian",42517,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,"A",42517,43138,"Cycle Inspection / Initial Inspection"
"7554",50045754,"CHOCNYC BAKERY","MANHATTAN","4996","BROADWAY","10034","9178044848","Bakery",42940,"Violations were cited in the following area(s).","04M","Live roaches present in facility's food and/or non-food areas.","Critical",39,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7555",50064117,"LA SIRENE UWS","MANHATTAN","416","AMSTERDAM AVE","10024","9172615279","French",43004,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",66,"Not Yet Graded",NA,43138,"Pre-permit (Non-operational) / Initial Inspection"
"7556",50071065,"AL VAPORETTO","MANHATTAN","168","E 81ST ST","10028","9173883205","Italian",43045,"Violations were cited in the following area(s).","05C","Food contact surface improperly constructed or located. Unacceptable material used.","Critical",28,"Not Yet Graded",NA,43138,"Pre-permit (Non-operational) / Initial Inspection"
"7557",50053666,"GANSEVOORT PARK ROOFTOP","MANHATTAN","420","PARK AVE S","10016","6463805391","American",42688,"Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",19,NA,NA,43138,"Pre-permit (Operational) / Initial Inspection"
"7558",41470043,"V BAR","MANHATTAN","132","1 AVENUE","10009","2124737200","Italian",42318,"Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility_x001A_s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",11,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7559",41317385,"GREEN KITCHEN DINER","MANHATTAN","1475","1 AVENUE","10075","2129884163","American",42983,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",13,"A",42983,43138,"Cycle Inspection / Initial Inspection"
"7560",41202221,"THE COFFEE INN","MANHATTAN","1316","1 AVENUE","10021","2122493909","CafÃ©/Coffee/Tea",42111,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",5,"A",42111,43138,"Cycle Inspection / Initial Inspection"
"7561",50068098,"SUBWAY","MANHATTAN","301","CATHEDRAL PKWY","10026","7183409154","Sandwiches",42972,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",13,"A",42972,43138,"Pre-permit (Operational) / Initial Inspection"
"7562",50009095,"TOWN TENNIS MEMBERS CLUB","MANHATTAN","430","E 56TH ST","10022","2127524059","American",41850,"Violations were cited in the following area(s).","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.","Critical",27,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7563",50045065,"CHICKEN/CELEBRITY CHEF, DELI CONCESSION","MANHATTAN","4","PENN PLAZA","10121","2124656302","American",42453,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",2,"A",42453,43138,"Pre-permit (Operational) / Initial Inspection"
"7564",41636395,"PRINCE ST PIZZA","MANHATTAN","27","PRINCE STREET","10012","2129664100","Pizza",42492,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A",42492,43138,"Cycle Inspection / Initial Inspection"
"7565",50073659,"FAMOUS 99 C PIZZA","MANHATTAN","159","LUDLOW ST","10002","3472133313","Other",1,NA,NA,NA,"Not Applicable",NA,NA,NA,43138,NA
"7566",50044736,"GEBHARD'S BEER CULTURE","MANHATTAN","228","W 72ND ST","10023","9176393420","American",42628,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",2,"A",42628,43138,"Pre-permit (Operational) / Re-inspection"
"7567",41012973,"MAMA'S PIZZERIA","MANHATTAN","941","AMSTERDAM AVENUE","10025","2125319797","Pizza/Italian",42265,"Violations were cited in the following area(s).","02C","Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65Âº F or above within 2 hours.","Critical",10,"A",42265,43138,"Cycle Inspection / Initial Inspection"
"7568",50070649,"THE DESSERT KITCHEN","MANHATTAN","94","SAINT MARKS PL","10009","6469228579","Other",43081,"Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",40,"Not Yet Graded",NA,43138,"Pre-permit (Operational) / Initial Inspection"
"7569",41675816,"MACARON","MANHATTAN","750","3 AVENUE","10017","6465735048","American",42282,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",9,"A",42282,43138,"Cycle Inspection / Re-inspection"
"7570",40814139,"STARBUCKS","MANHATTAN","1102","1 AVENUE","10065","2126889118","CafÃ©/Coffee/Tea",41963,"No violations were recorded at the time of this inspection.",NA,NA,"Not Applicable",0,"A",41963,43138,"Cycle Inspection / Re-inspection"
"7571",50009665,"POCKET BAR NYC","MANHATTAN","455","W 48TH ST","10036","6466829062","American",43018,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",10,"A",43018,43138,"Cycle Inspection / Re-inspection"
"7572",50060534,"ANTIQUE GARAGE TRIBECA","MANHATTAN","313","CHURCH ST","10013","2122260066","Turkish",42842,"Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",9,"A",42842,43138,"Pre-permit (Operational) / Initial Inspection"
"7573",50060972,"JUPIOCA","MANHATTAN","1457","YORK AVE","10075","9178558011","Juice, Smoothies, Fruit Salads",42810,"Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",5,NA,NA,43138,"Pre-permit (Non-operational) / Initial Inspection"
"7574",50042664,"MR PURPLE","MANHATTAN","180","ORCHARD ST","10002","2122371790","American",42648,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",12,"A",42648,43138,"Cycle Inspection / Initial Inspection"
"7575",40399620,"LA LINEA LOUNGE","MANHATTAN","15","FIRST AVENUE","10003","2127771571","Bottled beverages, including water, sodas, juices, etc.",42033,"Violations were cited in the following area(s).","10J","''''Wash hands_x001A_ sign not posted at hand wash facility.","Not Critical",4,"A",42033,43138,"Cycle Inspection / Initial Inspection"
"7576",41520487,"ALOFT HARLEM WXYZ REFUEL","MANHATTAN","2300","FREDERICK DOUGLAS BOULEVARD","10027","2127494000","American",42514,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",8,"A",42514,43138,"Cycle Inspection / Initial Inspection"
"7577",50015592,"YAKITORI TORA","MANHATTAN","72","KENMARE ST","10012","2129661100","Japanese",42458,"Violations were cited in the following area(s).","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","Critical",17,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7578",50005585,"BUFFALO WILD WINGS","MANHATTAN","253","W 47TH ST","10036","2122659453","Chicken",42844,"Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",13,"A",42844,43138,"Cycle Inspection / Initial Inspection"
"7579",50071621,"SHOREHAM HOTEL","MANHATTAN","33","W 55TH ST","10019","2122476700","American",43108,"Violations were cited in the following area(s).","20D","Choking first aid_x001A_ poster not posted. _x001A_Alcohol and pregnancy_x001A_ warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.","Not Critical",NA,NA,NA,43138,"Administrative Miscellaneous / Initial Inspection"
"7580",41072936,"LADY M CONFECTIONS","MANHATTAN","41","EAST   78 STREET","10075","2124522222","Bakery",42660,"Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A",42660,43138,"Cycle Inspection / Initial Inspection"
"7581",41336628,"BENOIT BISTRO","MANHATTAN","60","WEST   55 STREET","10019","6469437373","French",42905,"Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",39,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7582",50000419,"NATUREWORKS","MANHATTAN","43-45","W 55 STREET","10019","2123333020","American",42832,"Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",12,"A",42832,43138,"Cycle Inspection / Re-inspection"
"7583",41529712,"FORK & SPOON","MANHATTAN","7","WEST   36 STREET","10018","2122443203","Delicatessen",42249,"Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",46,NA,NA,43138,"Cycle Inspection / Initial Inspection"
"7584",50072521,"BASTA","MANHATTAN","62","E 34TH ST","10016","9173304667","Jewish/Kosher",1,NA,NA,NA,"Not Applicable",NA,NA,NA,43138,NA
